一级单位,二级单位,三级单位,清单ID,排放源名称,清单属性,上级排放源序号,上级排放源名称,上级排放源编号
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1001,BY07A至BY10皮带落料点,简单运输,上级排放源名称1,BY07A,JSSG_QD_YS1_1061
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1002,F103头轮,简单运输,上级排放源名称1,烧结矿管带机至F103落料点,JSSG_QD_YS1_1120
原料烧结厂,原料烧结厂一车间,1#料场,JSSG_QD_YS1_1003,B101B头轮,简单运输,上级排放源名称1,S5到B101B皮带落料点,JSSG_QD_YS1_1179
原料烧结厂,原料烧结厂一车间,1#料场,JSSG_QD_YS1_1004,S3头部料斗（南）,简单运输,上级排放源名称1,S9到S3皮带落料点,JSSG_QD_YS1_1186
原料烧结厂,原料烧结厂一车间,1#料场,JSSG_QD_YS1_1005,块矿振动筛入口,简单运输,上级排放源名称1,S1到块矿筛分落料点,JSSG_QD_YS1_1188
原料烧结厂,原料烧结厂一车间,1#料场,JSSG_QD_YS1_1006,块矿筛分到S3皮带落料点,简单运输,上级排放源名称1,块矿振动筛,JSSG_QD_YS1_2002
原料烧结厂,原料烧结厂一车间,2#料场,JSSG_QD_YS1_1007,Y201R至Y202皮带落料点,简单运输,上级排放源名称1,S8至Y201R皮带落料点,JSSG_QD_YS1_1008
原料烧结厂,原料烧结厂一车间,2#料场,JSSG_QD_YS1_1008,S8至Y201R皮带落料点,简单运输,上级排放源名称1,S8头部料斗,JSSG_QD_YS1_1096
原料烧结厂,原料烧结厂一车间,2#料场,JSSG_QD_YS1_1009,KY-1至BC-2落料点,简单运输,上级排放源名称1,KY-1头部料斗,JSSG_QD_YS1_1109
原料烧结厂,原料烧结厂一车间,2#料场,JSSG_QD_YS1_1010,桥基至BC-1落料点1,简单运输,上级排放源名称1,桥基,JSSG_QD_YS1_0000
原料烧结厂,原料烧结厂一车间,2#料场,JSSG_QD_YS1_1011,桥基至BC-1落料点2,简单运输,上级排放源名称1,桥基,JSSG_QD_YS1_0000
原料烧结厂,原料烧结厂一车间,2#料场,JSSG_QD_YS1_1012,桥基至2BC落料点1,简单运输,上级排放源名称1,桥基,JSSG_QD_YS1_0000
原料烧结厂,原料烧结厂一车间,2#料场,JSSG_QD_YS1_1013,桥基至2BC落料点2,简单运输,上级排放源名称1,桥基,JSSG_QD_YS1_0000
原料烧结厂,原料烧结厂一车间,2#料场,JSSG_QD_YS1_1014,桥基至KY-1落料点1,简单运输,上级排放源名称1,桥基,JSSG_QD_YS1_0000
原料烧结厂,原料烧结厂一车间,2#料场,JSSG_QD_YS1_1015,桥基至KY-1落料点2,简单运输,上级排放源名称1,桥基,JSSG_QD_YS1_0000
原料烧结厂,原料烧结厂一车间,2#料场,JSSG_QD_YS1_1016,桥基至KY-1落料点3,简单运输,上级排放源名称1,桥基,JSSG_QD_YS1_0000
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1017,5#炉矿石2#小车两侧落料点,简单运输,上级排放源名称1,槽前4#至5#炉矿石2#落料点,JSSG_QD_YS1_1195
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1018,5#炉矿石1#小车单侧卸料点,简单运输,上级排放源名称1,槽5至5#炉矿石1#落料点,JSSG_QD_YS1_1196
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1019,5#炉焦炭小车两侧落料点,简单运输,上级排放源名称1,槽前7#至5#炉焦炭落料点,JSSG_QD_YS1_1193
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1020,Y208头部,简单运输,上级排放源名称1,Y202至Y208皮带落料点,JSSG_QD_YS1_1204
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1021,Y209头部,简单运输,上级排放源名称1,烧结矿管带机至Y209落料点,JSSG_QD_YS1_1203
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1023,Y204至Y202皮带落料点,简单运输,上级排放源名称1,Y204头部料斗,JSSG_QD_YS1_1070
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1024,Y205至Y202皮带落料点,简单运输,上级排放源名称1,Y205头部料斗,JSSG_QD_YS1_1069
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1025,8BC头轮,简单运输,上级排放源名称1,7BC至8BC皮带落料点,JSSG_QD_YS1_1138
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1026,8BC小车顶部卸料点,简单运输,上级排放源名称1,8BC头轮,JSSG_QD_YS1_1025
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1027,9BC头轮,简单运输,上级排放源名称1,7BC至9BC皮带落料点,JSSG_QD_YS1_1137
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1028,9BC小车顶部卸料点,简单运输,上级排放源名称1,9BC头轮,JSSG_QD_YS1_1027
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1029,7BC可逆皮带卸料点,简单运输,上级排放源名称1,6BC至7BC皮带落料点,JSSG_QD_YS1_1139
